index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2021-Hojo-033_S33,82761.0,2967.0,26.0,7.0,Hojo-033,Hojo,163_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-034_S34,118244.0,6156.0,60.0,16.0,Hojo-034,Hojo,164_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.68971,131.04049,-4.29171,D6h1p2,D6h1p2
2021-Hojo-035_S35,96906.0,5456.0,51.0,0.0,Hojo-035,Hojo,165_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.68997,131.04021,-4.29174,D6h1p2,D6h1p2
2021-Hojo-036_S36,107721.0,5517.0,31.0,0.0,Hojo-036,Hojo,166_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-037_S37,138345.0,3540.0,171.0,17.0,Hojo-037,Hojo,167_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-038_S38,98030.0,4477.0,25.0,3.0,Hojo-038,Hojo,168_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-039_S39,102783.0,4435.0,41.0,0.0,Hojo-039,Hojo,169_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-040_S40,86585.0,4400.0,24.0,0.0,Hojo-040,Hojo,170_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-041_S41,134484.0,5318.0,42.0,3.0,Hojo-041,Hojo,171_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-042_S42,96936.0,3206.0,39.0,0.0,Hojo-042,Hojo,172_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-043_S43,77343.0,4450.0,29.0,0.0,Hojo-043,Hojo,173_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-044_S44,70602.0,4225.0,22.0,0.0,Hojo-044,Hojo,174_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-045_S45,86555.0,2638.0,85.0,12.0,Hojo-045,Hojo,175_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/10,31.66206,131.05427,-4.30014,D6h1p2,D6h1p2
2021-Hojo-046_S46,69721.0,5397.0,19.0,2.0,Hojo-046,Hojo,176_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.98461,131.06121,-4.0778,D1h3w5,D1h3w5
2021-Hojo-047_S47,114899.0,9924.0,21.0,12.0,Hojo-047,Hojo,177_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.98473,131.06015,-4.0785,D1h3w5,NA
2021-Hojo-048_S48,69643.0,5118.0,4.0,2.0,Hojo-048,Hojo,178_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.98166,131.0619,-4.07927,D1h3w5,D1h3w5
2021-Hojo-049_S49,98785.0,5621.0,31.0,0.0,Hojo-049,Hojo,179_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.98068,131.06977,-4.07412,D1h3w5,D1h3w5
2021-Hojo-050_S50,79779.0,5045.0,22.0,0.0,Hojo-050,Hojo,180_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.98249,131.06942,-4.07316,D1h3w5,D1h3w5
2021-Hojo-051_S51,83237.0,4819.0,30.0,3.0,Hojo-051,Hojo,181_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.98308,131.07401,-4.06937,D1h3w5,D1h3w5
2021-Hojo-052_S52,91941.0,3736.0,29.0,3.0,Hojo-052,Hojo,182_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.96784,131.07423,-4.07947,D6c1p2,D6c1p2
2021-Hojo-053_S85,200960.0,6702.0,81.0,7.0,Hojo-053,Hojo,183_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.96817,131.07416,-4.0793,D6c1p2,D6c1p2
2021-Hojo-054_S54,132306.0,4982.0,76.0,13.0,Hojo-054,Hojo,184_21_Miyz_Spin,21.0,Miyz,Spin,2021/7/22,31.94618,131.08595,-4.08539,D1h3w5,NA
